mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.006149148941040039,0.0017250905292804449,0.0038994312286376952,0.0012058537333505773,3,2,"{'max_depth': 3, 'min_samples_split': 2}",0.40701551566221106,0.6054687187762953,0.35996193187376635,0.630218840849381,0.35218878048493296,0.5335255946609658,0.5091300948647586,0.6569634004196417,0.6390251190024191,0.5508676162884202,0.5244365612882793,0.10953282825004809,10
0.009055519104003906,0.0008196629374184677,0.004924416542053223,0.000867107376746998,3,5,"{'max_depth': 3, 'min_samples_split': 5}",0.40701551566221106,0.6054687187762953,0.35996193187376635,0.630218840849381,0.35218878048493296,0.5335255946609658,0.5091300948647586,0.6569634004196417,0.6390251190024191,0.5508676162884202,0.5244365612882793,0.10953282825004809,10
0.007279086112976074,0.002121950749582845,0.004079461097717285,0.00116415052636789,3,10,"{'max_depth': 3, 'min_samples_split': 10}",0.40701551566221106,0.6054687187762953,0.35996193187376635,0.630218840849381,0.35218878048493296,0.5335255946609658,0.5091300948647586,0.6569634004196417,0.6390251190024191,0.5508676162884202,0.5244365612882793,0.10953282825004809,10
0.009765267372131348,0.0013279899799622608,0.005321621894836426,0.0005268143693412838,5,2,"{'max_depth': 5, 'min_samples_split': 2}",0.3384903885262919,0.7371239976706386,0.5667318624215156,0.8214938237011182,0.5036756933728943,0.6011146656052475,0.6740670471551251,0.7498543345056051,0.818589652687367,0.7302246461754933,0.6541366111821297,0.1449174186037196,9
0.008800792694091796,0.0015656596967379825,0.004588818550109864,0.0005050600278115107,5,5,"{'max_depth': 5, 'min_samples_split': 5}",0.3741979054516177,0.7371239976706386,0.6213257581988294,0.8214938237011182,0.5036756933728943,0.6011146656052473,0.6656885675423934,0.7498543345056051,0.818589652687367,0.7302246461754933,0.6623289044911205,0.1346275506445425,7
0.008986401557922363,0.0015956123855735602,0.0051325798034667965,0.0008949129971972235,5,10,"{'max_depth': 5, 'min_samples_split': 10}",0.38345022573816545,0.7371239976706386,0.608883744154656,0.813063946161927,0.4987854684218377,0.5814233303894307,0.6477157628055543,0.7650456339929314,0.8140015450010261,0.7343853692778697,0.6583879023614037,0.13455218624314724,8
0.013646554946899415,0.0007998126609369721,0.0055790901184082035,0.0005232547325283417,10,2,"{'max_depth': 10, 'min_samples_split': 2}",0.5902422677800896,0.8215772034391409,0.7550414368378184,0.7935448095074087,0.6133265956191692,0.674318925057528,0.8005386752802506,0.8036363941070221,0.8159518588223127,0.7292892688515719,0.7397467435302312,0.08132216795099337,2
0.012565183639526366,0.000538077338606022,0.0049732446670532225,0.00038307136904394495,10,5,"{'max_depth': 10, 'min_samples_split': 5}",0.5318445560960412,0.7975880560367933,0.6393483535847504,0.8343945603591266,0.584886449340954,0.6824051939360304,0.818440927829818,0.8424332558787555,0.8119443744221689,0.7405264258056465,0.7283812153290086,0.10655298911414435,5
0.011409926414489745,0.0008650087336980534,0.004853296279907227,0.0005223518172260352,10,10,"{'max_depth': 10, 'min_samples_split': 10}",0.5211407584592815,0.7706562320651176,0.6921461399339464,0.8143678724939496,0.5924907891647805,0.652397047135657,0.7558207105622657,0.8377634072891792,0.7945849121067623,0.7472621856791261,0.7178630054890066,0.09697048756437016,6
0.01446859836578369,0.0005231065544406027,0.005048108100891113,0.00030246929696117075,,2,"{'max_depth': None, 'min_samples_split': 2}",0.5700875159933187,0.8249125984007823,0.6384981833123397,0.7926208284264273,0.6382773356570905,0.7199326585539956,0.753368066263937,0.8090078044525553,0.8005215895413946,0.7419123062167519,0.7289138886818592,0.0820246633290888,4
0.013168978691101074,0.0007836569686226071,0.00497133731842041,0.0002307268634405634,,5,"{'max_depth': None, 'min_samples_split': 5}",0.5426154594025571,0.8125672247144484,0.6852889018125132,0.8230001478967479,0.6215282974495699,0.7404054441623824,0.8105101932817169,0.8448393888664733,0.7962151506791794,0.7754467856986087,0.7452416993964197,0.09394122893953029,1
0.011856722831726074,0.0004493261116024999,0.005013275146484375,0.000203233227199304,,10,"{'max_depth': None, 'min_samples_split': 10}",0.508372569104725,0.7735818445590956,0.7133245551785194,0.8171591174233119,0.6474772852136197,0.6947714689304607,0.766450769737246,0.8377634072891792,0.7897556742092917,0.7617492938050661,0.7310405985450515,0.09189856676601045,3
